Code,What you get?,How do you get it?,What else do you need to know?,Terms and Conditions
EMT2020,Users will get 5% instant discount on flight bookings,"To get discounts, users have to book flights for their preferred destination by applying coupon code: EMT2020 to avail the offer
This offer is valid for all customers till  31st July,2020
The offer is only valid on flight bookings
The offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicability
The maximum instant discount in this offer is of Rs. 5,000
The offer can't be clubbed with any other promotional offers
Bookings made with correct coupon code will only be eligible for the instant discount offer.
Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare rule
Changes in flights and dates are allowed with change fees and fare difference
Changes in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy onEaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMTFIRST,"Users will get 10% discount (max Rs.1000) on flight booking




Product
Offer
(Min Transaction: Rs.3500)


FLIGHT
10% discount
(Max upto Rs.1000/-)","To avail discounts, users have to register/sign-up for booking flight tickets for their preferred destination by applying coupon code: EMTFIRSTThis offer is valid for limited periodThe offer is valid on flight bookingsThe offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicabilityThe offer can't be clubbed with any other promotional offersBookings with the valid promo codes will be only eligible for this offerAll our new and existing customers can avail this offer only onceThis offer cannot be clubbed with any other offer running on EaseMyTripTo avail this offer customer need to process his booking with registered mail idIn case of partial/full cancellation the offer stands void and discount will be rolled back before processing the refunds.Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare ruleChanges in flights and dates are allowed with change fees and fare differenceChanges in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMT2020,Users will get 5% instant discount on flight bookings,"To get discounts, users have to book flights for their preferred destination by applying coupon code: EMT2020 to avail the offer
This offer is valid for all customers till  31st July,2020
The offer is only valid on flight bookings
The offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicability
The maximum instant discount in this offer is of Rs. 5,000
The offer can't be clubbed with any other promotional offers
Bookings made with correct coupon code will only be eligible for the instant discount offer.
Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare rule
Changes in flights and dates are allowed with change fees and fare difference
Changes in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy onEaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMTFIRST,"Users will get 10% discount (max Rs.1000) on flight booking




Product
Offer
(Min Transaction: Rs.3500)


FLIGHT
10% discount
(Max upto Rs.1000/-)","To avail discounts, users have to register/sign-up for booking flight tickets for their preferred destination by applying coupon code: EMTFIRSTThis offer is valid for limited periodThe offer is valid on flight bookingsThe offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicabilityThe offer can't be clubbed with any other promotional offersBookings with the valid promo codes will be only eligible for this offerAll our new and existing customers can avail this offer only onceThis offer cannot be clubbed with any other offer running on EaseMyTripTo avail this offer customer need to process his booking with registered mail idIn case of partial/full cancellation the offer stands void and discount will be rolled back before processing the refunds.Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare ruleChanges in flights and dates are allowed with change fees and fare differenceChanges in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMT2020,Users will get 5% instant discount on flight bookings,"To get discounts, users have to book flights for their preferred destination by applying coupon code: EMT2020 to avail the offer
This offer is valid for all customers till  31st July,2020
The offer is only valid on flight bookings
The offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicability
The maximum instant discount in this offer is of Rs. 5,000
The offer can't be clubbed with any other promotional offers
Bookings made with correct coupon code will only be eligible for the instant discount offer.
Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare rule
Changes in flights and dates are allowed with change fees and fare difference
Changes in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy onEaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMTFIRST,"Users will get 10% discount (max Rs.1000) on flight booking




Product
Offer
(Min Transaction: Rs.3500)


FLIGHT
10% discount
(Max upto Rs.1000/-)","To avail discounts, users have to register/sign-up for booking flight tickets for their preferred destination by applying coupon code: EMTFIRSTThis offer is valid for limited periodThe offer is valid on flight bookingsThe offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicabilityThe offer can't be clubbed with any other promotional offersBookings with the valid promo codes will be only eligible for this offerAll our new and existing customers can avail this offer only onceThis offer cannot be clubbed with any other offer running on EaseMyTripTo avail this offer customer need to process his booking with registered mail idIn case of partial/full cancellation the offer stands void and discount will be rolled back before processing the refunds.Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare ruleChanges in flights and dates are allowed with change fees and fare differenceChanges in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMTFIRST,"Users will get 10% discount (max Rs.1000) on flight booking




Product
Offer
(Min Transaction: Rs.3500)


FLIGHT
10% discount
(Max upto Rs.1000/-)","To avail discounts, users have to register/sign-up for booking flight tickets for their preferred destination by applying coupon code: EMTFIRSTThis offer is valid for limited periodThe offer is valid on flight bookingsThe offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App","Convenience fee will be charged as per the applicabilityThe offer can't be clubbed with any other promotional offersBookings with the valid promo codes will be only eligible for this offerAll our new and existing customers can avail this offer only onceThis offer cannot be clubbed with any other offer running on EaseMyTripTo avail this offer customer need to process his booking with registered mail idIn case of partial/full cancellation the offer stands void and discount will be rolled back before processing the refunds.Child / infant discount, date or flight change, refund charges, weekend surcharge, black out period, travel restrictions and / or flight restriction will be also applicable as per the fare ruleChanges in flights and dates are allowed with change fees and fare differenceChanges in names are not allowed","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
NULL,Users can get up to 10% SuperCash (max Rs.1000) on flight tickets,"To avail the offer, the user must use MobiKwik Wallet as the payment option for flight booking
Users have to apply code MBKEMT on the MobiKwik payment page to avail the offer
The offer is valid from till 31st Aug, 2020
The offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App
The offer is not valid on Thursday and Friday.","Users can apply other desired coupon codes at EMT website, Mobile site, Android & iOS AppOffer can be availed only once per user during the offer periodIn case of partial/full cancellation the offer stands void and the discount will be rolled back before processing the refunds","In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
EMTGAANA,Users will get free 3 months Gaana Plus Subscription by applying Promo Code : EMTGAANA while booking their flights at EaseMyTrip.com,"To avail the offer, the user must enter Promo Code: EMTGAANA in the Coupon field while booking their flightsThis offer is for limited period and valid for all customersThe offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS AppFor Android User, to know redemption offer Click Here
For iOS User, to know redemption offer Click Here",Bookings with the valid promo codes will only be eligible for the offerThe Offer is not transferableNo Convenience Fee will be chargedOffer can be availed once at a time by one userThis offer cannot be clubbed with any other offer running on EaseMyTripTo avail this offer customer needs to process his booking with registered mail id,"In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customersEaseMyTrip is the sole authority for interpretation of these termsIn addition, standard booking, cancellation and privacy policy of EaseMyTrip will applyIn the event of any dispute, Courts of New Delhi will have jurisdictionTravel agents by profession are barred from this offerEaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether"
EASEFLY,"Domestic: Each passenger will get  flat discount of Rs.300  on Oneway & Rs.600  for RoundtripInternational: Each passenger will get  flat discount of Rs.700  on Oneway & Rs.1400  for RoundtripOn a single PNR, maximum applicable discount is Rs.3000","To avail discounts, users have to book flight tickets (domestic & international) for their preferred destination by applying coupon code: EASEFLY
This offer is valid for booking till 31st July,2020
All our new and existing customers can avail this offer
The offer is valid for bookings made on EaseMyTrip's website, Mobile site, Android & iOS App",Convenience fee will be charged as per the applicabilityThe offer can't be clubbed with any other promotional offersUsers will get flat discount of Rs. 300 on Oneway & Rs.600 for Roundtrip.Bookings with the valid promo codes will be only eligible for this offerIn case of partial/full cancellation the offer stands void and discount will be rolled back before processing the refunds.Changes in flights and dates are allowed with change fees and fare differenceChanges in names are not allowed,"In the event of any misuse or abuse of the offer, EaseMyTrip reserves the right to deny the offer to the customers.EaseMyTrip is the sole authority for interpretation of these terms.In addition, EaseMyTrip standard booking and privacy policy on www.EaseMyTrip.com shall apply.In the event of any dispute, Courts of New Delhi will have jurisdiction.EaseMyTrip reserves the right, at any time, without prior notice and liability and without assigning any reason whatsoever, to add/alter/modify/change or vary all of these terms and conditions or to replace, wholly or in part, this offer by another offer, whether similar to this offer or not, or to extend or withdraw it altogether.EaseMyTrip shall not be liable for any loss or damage arising due to force majeure."
